"Note: This sheet takes a couple seconds to filter because it is MASSIVE, 
so please be patient and don't change too many settings too quickly",,,,,CR,,Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akroan Hoplite,Medium,Humanoid,Any Race,Any,3,,,,,,,,,,,,,,,,,,ø,,Mythic Odysseys of Theros,228,,,Ahuizotl,Small,Monstrosity,,Unaligned,2,,,,,,,,,x,,,,,,,,x,,,Creature Codex,10,,,,,,,,,,,
Al-Aeshma,Large,Elemental,Genie,Chaotic Evil,9,,x,,,,,,,,ø,,,,,,,,,ø,Tome of Beasts,211,,,Ahu-Nixta,Large,Aberration,,Neutral Evil,3,,x,,,,,,,,,,,,,,,,,x,Creature Codex,11,,,,,,,,,,,
Ala,Medium,Fey,,Chaotic Evil,8,,,,,,,,,,,ø,,,,ø,,,,,Tome of Beasts,13,,,Alkonost,Small,Monstrosity,,Neutral,1/2,,,,,,v,,,x,,,,,x,,,,,,Creature Codex,12,,,,,,,,,,,
Alabaster Tree,Huge,Celestial,,Neutral Good,7,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,302,,,Alliumite,Small,Plant,,Chaotic Neutral,1/4,,,,,,,,,,,,x,,,,,,,,Creature Codex,13,,,,,,,,,,,
Albino Death Weasel,Large,Beast,,Unaligned,1,,,,,,,,,,,x,x,,,,,,,,Creature Codex,374,,,Alp,Small,Fey,Shapechanger,Chaotic Evil,1,,x,,,,,,,,,,x,,,,,,,,Creature Codex,14,,,,,,,,,,,
Albino Dwarf Warrior,Medium,Humanoid,Dwarf,Any,1/4,,,,,,,,,,,,,,,,,,,,Tomb of Annihilation,210,,,Ammut,Large,Celestial,,Neutral,9,,,,,,,,,,x,,,x,,,,,,,Creature Codex,15,,,,,,,,,,,
Alchemical Apprentice,Small,Ooze,,Unaligned,1,,,,,,,,,,,,,,,,,,x,,Creature Codex,281,,,Eye of the Gods,Small,Celestial,Angel,Any,1,,,,,,,,,,,,,,,,,,,x,Creature Codex,16,,,,,,,,,,,
Alchemical Golem,Large,Construct,,Unaligned,9,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,192,,,Kinnara,Medium,Celestial,Angel,Lawful Good,3,,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,17,,,,,,,,,,,
Alchemical Skunk,Small,Monstrosity,,Unaligned,4,,,,,,,,,,,x,x,,,,,,x,,Tome of Beasts 2,13,,,Ophanim,Large,Celestial,Angel,Lawful Good,16,,x,,,,,,,,,,,,,,,,,x,Creature Codex,18,,,,,,,,,,,
Alchemist Archer,Medium,Humanoid,Elf,Any,10,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,141,,,Sammael,Medium,Celestial,Angel,Neutral Good,7,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,19,,,,,,,,,,,
Aldani ,Medium,Monstrosity,Lobsterfolk,Lawful Neutral,1,,,,,,,,,ø,,,,,,,,ø,,,Tomb of Annihilation,210,,,Song Angel,Large,Celestial,Angel,Lawful Good,6,,x,,,,,,,,,,,,,,,,,x,Creature Codex,20,,,,,,,,,,,
Alehouse Drake,Tiny,Dragon,,Chaotic Neutral,1/2,,x,,,,,,,,,,,,,,,,ø,,Tome of Beasts,148,,,Zoryas,Medium,Celestial,Angel,Lawful Good,8,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,21,,,,,,,,,,,
Algoid,Medium,Plant,,Neutral,3,,,,,,,,,,,x,,,,x,,,,,Fifth Edition Foes,8,,,Bat King,Small,Fey,"Animal Lord, Shapechanger",Neutral,13,,x,x,,x,,,,,,,,,,,,,x,,Creature Codex,22,,,,,,,,,,,
Algorith,Medium,Celestial,,Lawful Neutral,10,,,,,,,,,,,,,,,,,,,ø,Tome of Beasts,14,,,Brother Ox,Huge,Fey,"Animal Lord, Shapechanger",Lawful Neutral,16,,,x,x,x,,,,,,,,x,x,,,,,,Creature Codex,24,,,,,,,,,,,
Alhoon,Medium,Undead,"mind flayer, wizard",Neutral Evil,10,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,43,,,Lord of Vultures,Large,Fey,"Animal Lord, Shapechanger",Neutral Good,12,,x,x,,x,,,,,,,,,x,,,,,,Creature Codex,26,,,,,,,,,,,
Alhoon,Medium,Undead,Mindflayer,Any Evil,10,,x,,,,,,,,,,,,,,x,,,,Volo's Guide to Monsters,172,,,Mouse King,Small,Fey,"Animal Lord, Shapechanger",Neutral,11,,x,x,x,x,,,,,,,,,,,,,x,,Creature Codex,28,,,,,,,,,,,
Alkilith,Medium,Fiend,demon,Chaotic Evil,11,,,,,,,,,,,,,,,,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,44,,,Queen of Birds,Large,Fey,"Animal Lord, Shapechanger",Chaotic Neutral,14,,x,x,x,x,,,,,,,,,,,,,,,Creature Codex,30,,,,,,,,,,,
Alkilith,Medium,Fiend,Demon,Chaotic Evil,11,,,,,,,,,,,,,,,,x,,x,ø,Mordenkainen's Tome of Foes,130,,,Queen of Cats,Large,Fey,"Animal Lord, Shapechanger",Chaotic Good,15,,x,x,x,x,,,,,,,,,,,,,x,,Creature Codex,32,,,,,,,,,,,
Alkonost,Small,Monstrosity,,Neutral,1/2,,,,,,v,,,x,,,,,x,,,,,,Creature Codex,12,,,Queen of Serpents,Medium,Fey,"Animal Lord, Shapechanger",Lawful Neutral,12,,x,x,,x,,,,,,,,,x,,,,,,Creature Codex,34,,,,,,,,,,,
Alligator,Medium,Beast,,Unaligned,1/4,,,,,,,,,,,,,,,x,,,,,Tome of Beasts 2,387,,,Ankou Soul Herald,Gargantuan,Dragon,,Neutral,21,,,x,x,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,37,,,,,,,,,,,
Alligator Turtle,Medium,Beast,,Unaligned,1/4,,,,,,,,,,,,,,,x,,,,,Tome of Beasts 2,387,,,Ankou Soul Seeker,Large,Dragon,,Neutral,8,,,,x,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,38,,,,,,,,,,,
Allip,Medium,Undead,,Neutral Evil,5,,,,,,,,,,,,,,,x,,,x,,Mordenkainen Presents: Monsters of the Multiverse,45,,,Anophiloi,Small,Monstrosity,,Neutral,1,,,,,,,,,,,x,x,,,,,,,,Creature Codex,39,,,,,,,,,,,
Allip,Medium,Undead,,Neutral Evil,5,,,,,,,,,,,,,,,x,,,x,,Mordenkainen's Tome of Foes,116,,,Arborcyte,Large,Plant,,Chaotic Neutral,8,,,,,,,,,,,x,x,,,,,,,,Creature Codex,40,,,,,,,,,,,
Alliumite,Small,Plant,,Chaotic Neutral,1/4,,,,,,,,,,,,x,,,,,,,,Creature Codex,13,,,Arcamag,Tiny,Monstrosity,Shapechanger,Neutral,2,,,,,,,,,,,,,,,,,,x,,Creature Codex,41,,,,,,,,,,,
Allosaurus,Large,Beast,Dinosaur,Unaligned,2,,,,,,,,,,,,x,,,,,,,,Monster Manual,79,,,Arcanaphage,Medium,Monstrosity,,Unaligned,4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,42,,,,,,,,,,,
Almiraj,Small,Beast,,Unaligned,0,,,,,,o,,,,,,,,,,,,,,Tomb of Annihilation,211,,,Astral Snapper,Medium,Aberration,,Neutral Evil,3,,,,,,,,,,,,x,,,,,,x,,Creature Codex,43,,,,,,,,,,,
Alnaar,Large,Fiend,Demon,Chaotic Evil,9,,,,,,,,,,,,,,,,,,,x,Creature Codex,82,,,Azeban,Medium,Fey,,Chaotic Neutral,4,,x,,,,,,,,,x,,,,,,,,,Creature Codex,44,,,,,,,,,,,
Alp,Small,Fey,Shapechanger,Chaotic Evil,1,,x,,,,,,,,,,x,,,,,,,,Creature Codex,14,,,Azi Dahaka,Huge,Dragon,,Chaotic Evil,14,,,x,,x,,,,,,,,,,,,,,,Creature Codex,45,,,,,,,,,,,
Alpha Fish,Large,Beast,,Unaligned,3,,,,,,,,,,,,,,,,,x,,,Tome of Beasts 2,14,,,Baba Yaga,Medium,Fey,,Chaotic Neutral,20,,x,x,,x,,,,,,,,,,,,,,,Creature Codex,46,,,,,,,,,,,
Alpha Yek,Medium,Fiend,Demon,Chaotic Evil,9,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,95,,,Iron Teeth of Baba Yaga,Tiny,Fey,,Chaotic Neutral,2,,x,,,,,,,,,x,,,,,,,,,Creature Codex,47,,,,,,,,,,,
Alseid,Medium,Fey,,Chaotic Good,1,,x,,,,,,,,,,x,,,,,,,,Mythic Odysseys of Theros,235,,,Bar Brawl,Huge,Humanoid,Swarm,Unaligned,3,,,,,,,,,,,,,,,,,,x,,Creature Codex,48,,,,,,,,,,,
Alseid,Medium,Monstrosity,,Chaotic Neutral,1/2,,,,,,,,,,,ø,,,,,,,,,Tome of Beasts,15,,,Barong,Large,Celestial,,Lawful Good,17,,,x,,x,,,,,,,,,,,,,,x,Creature Codex,49,,,,,,,,,,,
Alseid Grovekeeper,Medium,Monstrosity,,Chaotic Neutral,3,,,,,,,,,,,ø,ø,,,,,,,,Tome of Beasts,15,,,Giant Albino Bat,Huge,Monstrosity,,Neutral Evil,3,,,,,,,,,,,x,x,,x,,x,,,,Creature Codex,50,,,,,,,,,,,
"Alsikaya, The Screeching Mother of Volcanoes",Huge,Fiend,"Demon, Demon Lord",Chaotic Evil,28,,,x,x,x,,,,,,,,,,,,,,x,Tome of Beasts 2,85,,,Giant Vampire Bat,Large,Beast,,Unaligned,2,,,,,,,,,,,x,x,,x,,x,,,,Creature Codex,50,,,,,,,,,,,
Altar Flame Golem,Large,Construct,,Neutral,10,,,,,,,,,,,,,,,,,,x,,Creature Codex,193,,,Bearfolk Chieftan,Medium,Humanoid,Bearfolk,Chaotic Good,6,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,51,,,,,,,,,,,
Alynn,Medium,Humanoid,Half-elf,Unaligned,10,,,x,,x,,,,,,,,,,,,,ø,,Monster a Day Compendium 2.0,95,,,Bearmit Crab,Large,Monstrosity,,Unaligned,2,,,,,,,,,x,,,,,,,,,,,Creature Codex,52,,,,,,,,,,,
Amber Ooze,Large,Ooze,,Unaligned,4,,,,,,,,,,,x,,,,,,,,,Tome of Beasts 2,277,,,Bilwis,Medium,Elemental,,Chaotic Evil,1,,,,,,,,,,,,x,,,,,,,,Creature Codex,53,,,,,,,,,,,
Amble,Medium,Humanoid,Tortle,Neutral Good,10,,x,,,,,,,,,,,,,,,,,,Locathah Rising,15,,,Bloody Bones,Medium,Monstrosity,,Chaotic Evil,3,,,,,,,,,,,,x,,,,,,x,,Creature Codex,54,,,,,,,,,,,
Ambush Drake,Medium,Dragon,,Unaligned,1/2,,,,,,,,,,,,,,,,,,,,Hoard of the Dragon Queen,88,,,Bookkeeper,Tiny,Construct,,Unaligned,1/8,,,,,,,,,,,,,,,,,,x,,Creature Codex,55,,,,,,,,,,,
Amethyst Dragon Wyrmling,Medium,Dragon,Gem,Neutral,4,,,,,,,,,ø,,,ø,ø,ø,,,,,,Fizban's Treasury of Dragons,162,,,Boot Grabber,Small,Aberration,,Neutral,1/2,,,,,,,,,,,,,,,,x,,,,Creature Codex,56,,,,,,,,,,,
Amidor the Dandelion,Small,Plant,,Neutral Good,1/2,,,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,135,,,Carbuncle,Small,Monstrosity,,Chaotic Good,1,,,,,,,,,,,x,,,,,,,,,Creature Codex,57,,,,,,,,,,,
Ammalia Cassalanter,Medium,Humanoid,Human,Lawful Neutral,5,,x,,,x,,,,,,,,,,,,,ø,,Waterdeep: Dragon Heist,193,,,Cats of Ulthar,Huge,Beast,Swarm,Unaligned,4,,,,,,,,,,,,x,,,,,,x,,Creature Codex,58,,,,,,,,,,,
Ammut,Large,Celestial,,Neutral,9,,,,,,,,,,x,,,x,,,,,,,Creature Codex,15,,,Cauldronborn,Small,Construct,,Unaligned,2,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,59,,,,,,,,,,,
Amnizu,Medium,Fiend,devil,Lawful Evil,18,,x,,,,,,,,,,,,,,,,,ø,Mordenkainen Presents: Monsters of the Multiverse,46,,,Centaur Chieftan,Large,Monstrosity,,Chaotic Neutral,5,,,,,,,,,,,,x,x,,,,,,,Creature Codex,60,,,,,,,,,,,
Amnizu,Medium,Fiend,Devil,Lawful Neutral,18,,x,,,,,,,,,,,,,,,,,ø,Mordenkainen's Tome of Foes,164,Baldur's Gate: Descent into Avernus 228,,Child of Yggdrasil,Large,Aberration,,Neutral Evil,6,,,,,,,,,,,x,,,,,,,,,Creature Codex,61,,,,,,,,,,,
Amphiptere,Medium,Beast,,Unaligned,3,,,,,,,,,,,ø,,ø,ø,ø,,,,,Tome of Beasts,16,,,Chuhaister,Large,Giant,,Chaotic Evil,7,,,,,,,,,,,x,,,,,,,,,Creature Codex,62,,,,,,,,,,,
Amphisbaena,Medium,Monstrosity,,Unaligned,1/2,,,,,,,,,,,,,,,,,,,,Mythic Odysseys of Theros,208,Ghosts of Saltmarsh 230,,Chupacabra,Small,Monstrosity,,Unaligned,1/2,,,,,,,,,,,,x,x,,,,,,,Creature Codex,63,,,,,,,,,,,
Amphoron of Yothri Juggernaut,Large,Construct,,Neutral,6,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,10,,,Clockwork Assassin,Medium,Construct,,Unaligned,6,,,,,,,,,,,,,,,,,,x,,Creature Codex,64,,,,,,,,,,,
Amphoron of Yothri Warrior,Medium,Construct,,Neutral,2,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,10,,,Clockwork Servant,Medium,Construct,,Unaligned,1/8,,,,,,,,,,,,,,,,,,x,,Creature Codex,65,,,,,,,,,,,
Amphoron of Yothri Worker,Small,Construct,,Neutral,1/2,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,9,,,Clockwork Soldier,Medium,Construct,,Unaligned,1,,,,,,,,,,,,,,,,,,x,,Creature Codex,65,,,,,,,,,,,
Anarch,Small,Humanoid,Any Race,Chaotic Neutral,1/4,,,,,,,,,,,ø,ø,ø,,,,,ø,,Guildmaster's Guide to Ravnica,239,,,Corpse Thief,Medium,Humanoid,,Neutral,1/2,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,66,,,,,,,,,,,
Ancient Amethyst Dragon,Gargantuan,Dragon,Gem,Neutral,23,,x,x,x,,,,,ø,,,ø,ø,ø,,,,,,Fizban's Treasury of Dragons,160,,,Crimson Mist,Medium,Undead,,Chaotic Evil,6,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,67,,,,,,,,,,,
Ancient Black Dragon,Gargantuan,Dragon,,Chaotic Evil,21,,,x,x,,,,,,,,,,,x,,,,,Monster Manual,87,,,Cueyatl,Small,Humanoid,,Lawful Evil,1/2,,,,,,,,,x,,,,,,,,,,,Creature Codex,68,,,,,,,,,,,
Ancient Blue Dragon,Gargantuan,Dragon,,Lawful Neutral,23,,,x,x,,,,,x,x,,,,,,,,,,Monster Manual,90,,,Cueyatl Moon Priest,Small,Humanoid,,Lawful Evil,5,,x,,,,,,,x,,,,,,,,,,,Creature Codex,68,,,,,,,,,,,
Ancient Boreal Dragon,Gargantuan,Dragon,,Chaotic Neutral,24,,,x,x,,,,x,,,x,,,,,,,,,Tome of Beasts 2,110,,,Cueyatl Sea Priest,Small,Humanoid,,Lawful Evil,1,,x,,,,,,,x,,,,,,,,,,,Creature Codex,69,,,,,,,,,,,
Ancient Brass Dragon,Gargantuan,Dragon,,Chaotic Good,20,,,x,x,,,,,,x,,,,,,,,,,Monster Manual,104,,,Cueyatl Warrior,Small,Humanoid,,Lawful Evil,1,,,,,,,,,x,,,,,,,,,,,Creature Codex,69,,,,,,,,,,,
Ancient Bronze Dragon,Gargantuan,Dragon,,Lawful Good,22,,,x,x,,,,,x,,,,,,,,,,,Monster Manual,107,,,Simhamukha,Huge,Celestial,Dakini,Chaotic Good,8,,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,70,,,,,,,,,,,
Ancient Chronomancer,Medium,Humanoid,Construct,Neutral,7,,x,,,,,,,,,,,,,,,,ø,ø,Monster a Day Compendium 2.0,20,,,Dark Father,Large,Undead,,Lawful Neutral,4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,71,,,,,,,,,,,
Ancient Copper Dragon,Gargantuan,Dragon,,Chaotic Good,21,,,x,x,,,,,,,,,x,,,,,,,Monster Manual,110,,,Dark Eye,Medium,Humanoid,Dark Folk,Neutral Evil,3,,,,,,,,,,,,,,,,,,x,,Creature Codex,72,,,,,,,,,,,
Ancient Crystal Dragon,Gargantuan,Dragon,Gem,Chaotic Neutral,19,,x,x,x,,,,ø,,,,,,,,,,,,Fizban's Treasury of Dragons,170,,,Dark Servant,Medium,Humanoid,Dark Folk,Neutral Evil,1,,,,,,,,,,,,,,,,,,x,,Creature Codex,72,,,,,,,,,,,
Ancient Deep Crow,Huge,Monstrosity,,Unaligned,15,,,x,,,,,,,,,,,,,x,,,,Acquisitions Incorporated,211,,,Dark Voice,Medium,Humanoid,Dark Folk,Neutral Evil,5,,,,,,,,,,,,,,,,,,x,,Creature Codex,73,,,,,,,,,,,
Ancient Deep Dragon,Gargantuan,Dragon,,Neutral Evil,18,,,x,x,,,,,,,,,,,,ø,,,,Fizban's Treasury of Dragons,173,,,"Chemosh, Demon Lord of Conquest",Huge,Fiend,"Demon, Demon Lord",Chaotic Evil,19,,x,x,x,x,,,,,,,,,,,,,,x,Creature Codex,75,,,,,,,,,,,
Ancient Dragon Turtle,Gargantuan,Dragon,,Neutral,24,,,x,,,,,,,,,,,,,,ø,,,Fizban's Treasury of Dragons,191,,,"Chittr'k'k, Demon Lord of Rats",Medium,Fiend,"Demon, Demon Lord",Chaotic Evil,13,,,x,x,x,,,,,,,,,,,,,,x,Creature Codex,76,,,,,,,,,,,
Ancient Emerald Dragon,Gargantuan,Dragon,Gem,Lawful Neutral,21,,x,x,x,,,,,,,,,,ø,,ø,,,,Fizban's Treasury of Dragons,195,,,"Rangda, Demon Lord of Witches",Large,Fiend,"Demon, Demon Lord",Chaotic Evil,17,,x,x,x,x,,,,,,,,,,,,,,x,Creature Codex,78,,,,,,,,,,,
Ancient Flame Dragon,Gargantuan,Dragon,,Chaotic Evil,24,,,x,x,,,,,,,,,ø,ø,,,,,,Tome of Beasts,128,,,"Typhon, Father of Monsters",Gargantuan,Fiend,"Demon, Demon Lord",Chaotic Evil,22,,x,x,x,x,,,,,,,,,,,,,,x,Creature Codex,80,,,,,,,,,,,
Ancient Gold Dragon,Gargantuan,Dragon,,Lawful Good,24,,,x,x,,,,,,,x,x,,,,,,,,Monster Manual,113,,,Alnaar,Large,Fiend,Demon,Chaotic Evil,9,,,,,,,,,,,,,,,,,,,x,Creature Codex,82,,,,,,,,,,,
Ancient Green Dragon,Gargantuan,Dragon,,Lawful Neutral,22,,,x,x,,,,,,,x,,,,,,,,,Monster Manual,93,,,Cipactli,Medium,Fiend,Demon,Chaotic Evil,5,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,83,,,,,,,,,,,
Ancient Imperial Dragon,Gargantuan,Dragon,,Neutral,26,,x,x,x,,,,,x,,,,,,,,x,,,Tome of Beasts 2,115,,,Echo,Medium,Fiend,Demon,Chaotic Evil,6,,,,,,,,,,,,,,,,x,,,,Creature Codex,84,,,,,,,,,,,
Ancient Light Dragon,Gargantuan,Dragon,,Neutral Good,22,,,x,x,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,116,,,Fulad-Zereh,Huge,Fiend,Demon,Chaotic Evil,9,,,,,,,,,,,,,,,,,,,x,Creature Codex,85,,,,,,,,,,,
Ancient Mandriano,Huge,Plant,,Lawful Evil,8,,,,,,,,,,,x,,x,,,,,,,Creature Codex,261,,,Neophron,Medium,Fiend,"Demon, Shapechanger",Chaotic Evil,8,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,86,,,,,,,,,,,
Ancient Mithral Dragon,Gargantuan,Dragon,,Neutral,18,,x,x,,,,,,,,,,,,,ø,,,,Tome of Beasts,132,,,Pishacha,Medium,Fiend,Shapechanger,Chaotic Evil,3,,,,,,,,,,,,,,,,,,,x,Creature Codex,88,,,,,,,,,,,
Ancient Moonstone Dragon,Gargantuan,Dragon,,Neutral,21,,x,x,x,,,,,,,ø,ø,,ø,,,,,ø,Fizban's Treasury of Dragons,211,,,Plaresh,Medium,Fiend,"Demon, Swarm",Chaotic Evil,3,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,89,,,,,,,,,,,
Ancient Red Dragon,Gargantuan,Dragon,,Chaotic Evil,24,,,x,x,,,,,,,,,x,x,,,,,,Monster Manual,97,,,Rattok,Small,Fiend,Demon,Chaotic Evil,4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,90,,,,,,,,,,,
Ancient Sapphire Dragon,Gargantuan,Dragon,Gem,Lawful Neutral,22,,x,x,x,,,,,,,,,,,,ø,,,,Fizban's Treasury of Dragons,214,,,Spree,Small,Fiend,Demon,Chaotic Evil,5,,,,,,,,,,,,,,,,,,x,,Creature Codex,91,,,,,,,,,,,
Ancient Sea Dragon,Gargantuan,Dragon,,Neutral Evil,22,,,x,x,,,,,,,,,,,,,ø,,,Tome of Beasts,135,,,Vellso,Medium,Fiend,Demon,Chaotic Evil,7,,,,,,,,,,,,,,,,,,,x,Creature Codex,92,,,,,,,,,,,
Ancient Sea Serpent,Gargantuan,Dragon,,Neutral,14,,,x,,,,,,,,,,,,,,ø,,,Fizban's Treasury of Dragons,219,,,Wind Demon,Small,Fiend,Demon,Chaotic Evil,2,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,93,,,,,,,,,,,
Ancient Silver Dragon,Gargantuan,Dragon,,Lawful Good,23,,,x,x,,,,,,,,,,x,,,,x,,Monster Manual,116,,,Alpha Yek,Medium,Fiend,Demon,Chaotic Evil,9,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,95,,,,,,,,,,,
Ancient Titan,Gargantuan,Celestial,,Neutral Good,12,,,,,,,,,ø,,,,,,,,ø,,,Tome of Beasts,380,,,Yek,Small,Fiend,Demon,Chaotic Evil,4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,95,,,,,,,,,,,
Ancient Topaz Dragon,Gargantuan,Dragon,Gem,Chaotic Neutral,20,,x,x,x,,,,,ø,,,,,,ø,,ø,,,Fizban's Treasury of Dragons,220,,,Speaker to the Darkness,Small,Humanoid,Derro,Chaotic Evil,5,,,,,,,,,,,,,,,,x,,,,Creature Codex,96,,,,,,,,,,,
Ancient Void Dragon,Gargantuan,Dragon,,Chaotic Neutral,24,,,x,x,,,,,,,,,,,,,,,ø,Tome of Beasts,138,,,Witch Queen,Small,Humanoid,Derro,Chaotic Evil,5,,x,,,,,,,,,,,,,,x,,,,Creature Codex,97,,,,,,,,,,,
Ancient Wasteland Dragon,Gargantuan,Dragon,,Chaotic Evil,23,,,x,x,,,,,,,,,x,,,,,,,Creature Codex,120,,,Devil Shark,Gargantuan,Monstrosity,,Neutral Evil,13,,,,,,,,,,,,,,,,,x,,,Creature Codex,98,,,,,,,,,,,
Ancient White Dragon,Gargantuan,Dragon,,Chaotic Evil,20,,,x,x,,,,x,,,,,,,,,,,,Monster Manual,100,,,"Belphegor, Hell's Inventor",Huge,Fiend,"Devil, Archdevil",Lawful Evil,22,,,x,,x,,,,,,,,,,,,,,x,Creature Codex,100,,,,,,,,,,,
Ancient Wind Dragon,Gargantuan,Dragon,,Chaotic Neutral,22,,x,x,x,,,,,,,,,,ø,,,,,,Tome of Beasts,142,,,"Parzelon, King of Secrets",Huge,Fiend,"Devil, Archdevil",Lawful Evil,25,,x,x,,x,,,,,,,,,,,,,,x,Creature Codex,101,,,,,,,,,,,
Andras,Medium,Humanoid,Human,Neutral Evil,8,,,,,x,,,,,,,,,,,,,,,Infernal Machine Rebuild,31,,,Spawn of Parzelon,Medium,Fiend,Devil,Lawful Evil,5,,x,,,,,,,,,,,,,,,,,x,Creature Codex,102,,,,,,,,,,,
Andrenjinyi,Gargantuan,Celestial,,Neutral,15,,x,,,,,,,ø,,,,,,,,ø,,,Tome of Beasts,18,,,Fire Imp,Tiny,Fiend,Devil,Lawful Evil,1/2,,,,,,,,,,,,,,,,,,,x,Creature Codex,103,,,,,,,,,,,
Androsphinx,Large,Monstrosity,,Lawful Neutral,17,,x,x,x,,,,,,x,,,,,,,,,,Monster Manual,281,,,Infernal Knight,Medium,Fiend,Devil,Lawful Evil,16,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,104,,,,,,,,,,,
Angatra,Medium,Undead,,Neutral Evil,6,,,,,,,,,,,,,,,,,,ø,,Tome of Beasts,19,,,Wind's Harp,Medium,Fiend,Devil,Lawful Evil,4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,105,,,,,,,,,,,
Angel of Judgement,Huge,Celestial,,Neutral,18,,x,,,,,,,,,,,,,,,,,x,Tome of Beasts 2,16,,,Dhampir,Medium,Humanoid,Dhampir,Any,1,,,,,,,,,,,,,,,,,,x,,Creature Codex,106,,,,,,,,,,,
Angelic Enforcer,Large,Celestial,,Lawful Good,12,,x,,,,,,,,,,,,,,,,,x,Tome of Beasts 2,17,,,Dhampir Commander,Medium,Humanoid,Dhampir,Any,7,,,,,,,,,,,,,,,,,,x,,Creature Codex,107,,,,,,,,,,,
Angler Worm,Huge,Monstrosity,,Unaligned,4,,,,,,,,,,,,,ø,ø,,ø,,,,Tome of Beasts,22,,,Archaeopteryx,Tiny,Beast,Dinosaur,Unaligned,1/4,,,,,,,,,x,,x,,,,x,,,,,Creature Codex,108,,,,,,,,,,,
Angry Sorrowsworn,Medium,Monstrosity,,Neutral Evil,13,,,,,,,,,,,,,,,,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,222,Mordenkainen's Tome of Foes 231,,Lystrosaurus,Medium,Beast,Dinosaur,Unaligned,2,,,,,,,,,,,,x,,,,,,,,Creature Codex,108,,,,,,,,,,,
Animated Armor,Medium,Construct,,Unaligned,1,,,,,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,,Monster Manual,19,Rise of Tiamat Online Supplement 7,,Nodosaurus,Large,Beast,Dinosaur,Unaligned,1,,,,,,,,,,,,x,,,x,,,,,Creature Codex,109,,,,,,,,,,,
Animated Bearskin Rug,Large,Construct,,Unaligned,4,,,,,,,,,,,,x,,,,,,x,,Tome of Beasts 2,24,,,Dracotaur,Large,Dragon,,Chaotic Neutral,6,,,,,,,,,,,,x,x,,,,,,,Creature Codex,110,,,,,,,,,,,
Animated Breath,Large,Elemental,,Neutral Evil,6,,,,,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,,,,Fizban's Treasury of Dragons,163,,,One-Headed Clockwork Dragon,Large,Construct,,Unaligned,8,,,,,,,,,,,,,,,,,,x,,Creature Codex,111,,,,,,,,,,,
Animated Broom,Small,Construct,,Not Provided,1/4,,,,,,,,,,,,,,,,,,ø,,Candlekeep Mysteries,20,,,Three-Headed Clockwork Dragon,Huge,Construct,,Unaligned,14,,,,,,,,,,,,,,,,,,x,,Creature Codex,112,,,,,,,,,,,
